The Sample Walker Lake Data Sets
6
Identification Number
Xlocation in meter
Ylocation in meter
V variable, concentration in ppm
U variable, concentration in ppm
T variable, indicator variable
1	11	8	0.	1E31	2
2	 8     30	0.	1E31	2
3	 9     48     224.4     1E31	2
4        8     69     434.4     1E31    2
5        9     90     412.1     1E31    2
6       10    110     587.2     1E31	2
7	 9    129     192.3	1E31	2
8	11    150      31.3	1E31	2
9	10    170     388.5	1E31	2
10	 8    188     174.6	1E31	2
11	 9    209     187.8	1E31	2
12	10    231      82.1	1E31	1
13	11    250      81.1	1E31	1
14	10    269     124.3	1E31	2
15	 8    288     188.0	1E31	2
16	31     11      28.7	1E31	2
17	29     29      78.1	1E31	2
18	28     51     292.1	1E31	2
19      31     68     895.2	1E31	2
20      28     88     702.6	1E31	2
21      30    110     490.3   	1E31	2
22      28    130     136.1	1E31	2
23	28    150     335.0	1E31	2
24	30    171     277.0	1E31	2
25	28    190     206.1	1E31	2
26	31    209      24.5	1E31	2
27	28    229     198.1	1E31	2
28	30    250      60.3	1E31	2
29	31    269     312.6	1E31	2
30	31    289     240.9	1E31	2
31	49     11     653.3	1E31	2
32	49     29      96.4	1E31	2
33	51     48     105.0	1E31	2
34	49     68      37.8	1E31	2
35	50     88     820.8	1E31	2
36	51    109     450.7	1E31	2
37	48    129     190.4	1E31	2
38	49    151     773.3	1E31	2
39	51    168     971.9	1E31	2
40	48    190     762.4	1E31	2
41	50    211     968.3	1E31	2
42	49    231     394.7	1E31	2
43	51    250     343.0	1E31 	2
44	50    268     863.8	1E31	2
45	51    290     159.6	1E31	1
46	71      9     445.8	1E31	2
47	71     29     673.3	1E31	2
48	70     51     252.6	1E31	2
49	68     70     537.5	1E31	2
50	69     90       0.	1E31	2
51	68    110     329.1	1E31	2
52	68    128     646.3	1E31	2
53	69    148     616.2	1E31	2
54	69    169     761.3	1E31	2
55	70    191     918.0	1E31	2
56	69    208      97.4	1E31	1
57	69    229 	0.	1E31	1
58	68    250  	0.	1E31	1
59	71    268   	0.	1E31	1
60	71    288       2.4	1E31	1
61	91     11     368.3	1E31	2
62	91     29      91.6	1E31	2
63	90     49     654.7	1E31	2
64	91     68     645.5	1E31 	2
65	91     91     907.2	1E31	2
66	91    111     826.3	1E31 	2
67	89    130     975.3	1E31	2
68	88    149     551.1	1E31	2
69	89    170     155.5	1E31	1                             
70      89    188      10.7	1E31	1
71	90    211     	0.	1E31	1                             
72	90    230  	0.	1E31	1
73	88    249	0.	1E31	1
74	88    269      12.1	1E31	1
75	88    288      62.2	1E31	1
76     109     11     399.6	1E31	2
77     111     31     176.6	1E31	2
78     108     49     402.0	1E31	2
79     109     68     260.6	1E31	2
80     108     88     192.0	1E31	2
81     110    109     237.6	1E31	2
82     109    129     702.0	1E31	2
83     110    148      38.5	1E31 	2
84     111    169      22.1	1E31	1
85     111    191       2.7	1E31	1
86     110    208      17.9	1E31	1
87     109    230     174.2	1E31	2
88     109    249      12.9	1E31	2
89     109    268     187.8	1E31	2
90     111    291     268.8	1E31	2
91     130      9     572.5	1E31	2
92     131     31      29.1	1E31	2
93     130     48      75.2	1E31	2
94     128     70     399.9	1E31	2
95    129      90     243.1	1E31	2
96    131     109       0.	1E31	2
97    129     128     244.7     1E31	2
98    131     148     185.2	1E31	2
99    131     169      26.0	1E31	1
100   129     191	0.	1E31	1
101   128     209     100.3	1E31	1
102   130     231     530.3	1E31	2
103   131     248     107.4	1E31	2
104   128     269     159.3	1E31	2
105   131     288      70.7    	1E31	2
106   148       8     260.2	1E31 	2
