lat,lon,n,africa,datatype,genaa,genab,genbb,gen00,gena0,genb0,gena1,genb1,gen01,gen11,pheab,phea,pheb,phe0,prom0,promab,aphea,aphe0,bpheb,bphe0
6.2325234349736958,9.6778202070931343,10,1,gen,0,0,0,10,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-3.6085298403125257,30.904145121217063,5,1,gen,0,0,0,5,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-14.646617347052628,37.52063419410657,160,1,gen,0,0,0,147,13,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34.990332057335031,7.0432082267630207,115,0,gen,8,22,22,9,19,34,0,1,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
-32.699061736580298,27.877383297052095,100,1,gen,0,1,3,65,6,25,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9.058058816769563,-0.16776756919402036,12,1,gen,0,0,0,12,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12.341501842844336,-2.9694296204555597,7,1,gen,0,0,0,7,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5.9689203184766146,-0.25975685747676724,16,1,gen,0,0,0,16,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13.187547312221277,-10.518430383849864,21,1,gen,0,0,0,21,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16.246342226791295,-16.435472992909848,10,1,gen,0,0,0,10,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.115269567718121,-4.5979792906715424,9,1,gen,0,0,0,9,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8.3147255900812596,-6.3896081128322253,7,1,gen,0,0,0,7,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
