,idnum,state,state2,stfips,zip,region,typebldg,floor,room,basement,windoor,rep,stratum,wave,starttm,stoptm,startdt,stopdt,activity,pcterr,adjwt,dupflag,zipflag,cntyfips,county,fips,Uppm,county_code,log_radon
0,5081.0,MN,MN,27.0,55735,5.0,1.0,1.0,3.0,N, , 2,4.0, 41,930.0,930.0,12088.0,12288.0,2.2,9.7,1146.49919,1.0,0.0,1.0,AITKIN,27001.0,0.502054,0,0.8329091229351041
1,5082.0,MN,MN,27.0,55748,5.0,1.0,0.0,4.0,Y, , 5,2.0, 40,1615.0,1615.0,11888.0,12088.0,2.2,14.5,471.36622300000005,0.0,0.0,1.0,AITKIN,27001.0,0.502054,0,0.8329091229351041
2,5083.0,MN,MN,27.0,55748,5.0,1.0,0.0,4.0,Y, , 3,2.0, 42,1030.0,1515.0,20288.0,21188.0,2.9,9.6,433.316718,0.0,0.0,1.0,AITKIN,27001.0,0.502054,0,1.0986122886681098
3,5084.0,MN,MN,27.0,56469,5.0,1.0,0.0,4.0,Y, , 2,2.0, 24,1410.0,1410.0,122987.0,123187.0,1.0,24.3,461.62367,0.0,0.0,1.0,AITKIN,27001.0,0.502054,0,0.09531017980432493
4,5085.0,MN,MN,27.0,55011,3.0,1.0,0.0,4.0,Y, , 3,2.0, 40,600.0,600.0,12888.0,13088.0,3.1,13.8,433.316718,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1,1.1631508098056809
5,5086.0,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, , 5,2.0, 22,900.0,1300.0,120287.0,121187.0,2.5,12.8,471.36622300000005,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1,0.9555114450274363
6,5087.0,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, , 5,2.0, 28,2000.0,2025.0,121887.0,122087.0,1.5,14.5,471.36622300000005,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1,0.47000362924573563
7,5088.0,MN,MN,27.0,55014,3.0,1.0,0.0,2.0,Y, , 3,2.0, 33,800.0,1000.0,122587.0,122787.0,1.0,18.0,433.316718,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1,0.09531017980432493
8,5089.0,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, , 3,2.0, 36,1000.0,1730.0,10188.0,10188.0,0.7,25.1,433.316718,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1,-0.22314355131420985
9,5090.0,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, , 2,2.0, 44,900.0,900.0,20288.0,20288.0,1.2,17.5,461.62367,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1,0.26236426446749106
10,5091.0,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, , 2,2.0, 47,1040.0,1040.0,20288.0,20288.0,1.2,20.2,461.62367,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1,0.26236426446749106
11,5092.0,MN,MN,27.0,55014,3.0,1.0,0.0,4.0,Y, , 5,2.0,  4,610.0,610.0,22988.0,30388.0,1.3,23.3,471.36622300000005,0.0,0.0,3.0,ANOKA,27003.0,0.428565,1,0.336472236621213
